_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
TRUE,"Je t'aime,moi non plus",566,368,0.000479204,0.001544259,1181125,238302,2852,1
FALSE,織花,525,354,0.000444491,0.00148551,1181125,238302,168,0
FALSE,ㄧ閃一閃亮晶晶,1344,347,0.001137898,0.001456135,1181125,238302,611,0
FALSE,睡蓮,412,236,0.00034882,0.00099034,1181125,238302,2254,0
FALSE,胎動,236,157,0.00019981,0.000658828,1181125,238302,611,0
FALSE,我在想一首歌,270,129,0.000228596,0.00054133,1181125,238302,192,0
FALSE,歌蒂拉與三隻熊,222,103,0.000187956,0.000432225,1181125,238302,611,0
FALSE,Opening,120,94,0.000101598,0.000394457,1181125,238302,611,0
FALSE,小黑桑波,144,93,0.000121918,0.000390261,1181125,238302,611,0
FALSE,野天鵝,121,81,0.000102445,0.000339905,1181125,238302,611,0
FALSE,快樂王子,104,68,8.81E-05,0.000285352,1181125,238302,611,0
TRUE,魚,19,18,1.61E-05,7.55E-05,1181125,238302,2852,1
TRUE,我愛你,17,13,1.44E-05,5.46E-05,1181125,238302,2852,1
TRUE,自然捲,10,9,8.47E-06,3.78E-05,1181125,238302,2852,1
TRUE,老處女,4,3,3.39E-06,1.26E-05,1181125,238302,2852,1
TRUE,森山大道,2,2,1.69E-06,8.39E-06,1181125,238302,2852,1
FALSE,神秘嘉賓,7131,189,0.160405794,0.199788584,44456,946,291,0
FALSE,傳說,4859,179,0.109299082,0.189217759,44456,946,312,0
FALSE,伯樂,12060,158,0.271279467,0.167019027,44456,946,277,0
FALSE,殘酷月光,6626,89,0.149046248,0.094080338,44456,946,270,0
FALSE,眼色,2801,89,0.063006118,0.094080338,44456,946,270,0
FALSE,愛情是圓的,1915,73,0.0430763,0.077167019,44456,946,270,0
FALSE,心有林夕,1683,49,0.037857657,0.05179704,44456,946,270,0
FALSE,再別康橋,1740,43,0.039139824,0.045454545,44456,946,270,0
FALSE,病態,1694,37,0.038105093,0.039112051,44456,946,270,0
TRUE,請說,2091,31,0.047035271,0.032769556,44456,946,270,1
TRUE,慢一點,1438,20,0.03234659,0.021141649,44456,946,270,1
TRUE,說謊,133824,40161,0.116487716,0.354372187,1148825,113330,1318,1
TRUE,想自由,99667,31186,0.086755598,0.275178682,1148825,113330,763,1
FALSE,浪費,74007,22366,0.064419733,0.197352863,1148825,113330,343,0
FALSE,勉強幸福,61027,21652,0.053121233,0.191052678,1148825,113330,347,0
TRUE,傻子,86108,21027,0.074953104,0.18553781,1148825,113330,346,1
TRUE,自然醒,64512,19936,0.056154767,0.175911056,1148825,113330,756,1
TRUE,誘,46893,18879,0.040818227,0.166584311,1148825,113330,367,1
TRUE,我總是一個人在練習一個人,39249,14088,0.034164472,0.124309539,1148825,113330,756,1
TRUE,心酸,32747,12789,0.028504777,0.112847437,1148825,113330,1302,1
TRUE,思凡,31926,11652,0.027790133,0.102814789,1148825,113330,364,1
TRUE,感同身受,28456,10074,0.024769656,0.08889085,1148825,113330,1309,1
FALSE,愛情的背影,21508,8693,0.018721737,0.076705197,1148825,113330,120,0
FALSE,越反越愛,14772,6189,0.012858355,0.05461043,1148825,113330,343,0
TRUE,Runaway Mama,13394,5919,0.011658869,0.052228007,1148825,113330,343,1
TRUE,晚安,11055,5015,0.009622876,0.044251302,1148825,113330,772,1
FALSE,紀念品,13913,4957,0.012110635,0.043739522,1148825,113330,756,0
FALSE,拾荒,11127,4791,0.009685548,0.042274773,1148825,113330,343,0
TRUE,看見什麼吃什麼,10005,4659,0.008708898,0.041110033,1148825,113330,1318,1
FALSE,我只在乎你,14208,4592,0.012367419,0.040518839,1148825,113330,115,0
FALSE,擁有,11480,4288,0.009992819,0.037836407,1148825,113330,756,0
TRUE,飄,6712,3494,0.005842491,0.030830319,1148825,113330,1302,1
FALSE,I Wish You Love,6755,3358,0.005879921,0.029630283,1148825,113330,333,0
TRUE,歇斯底里,7563,3288,0.006583248,0.029012618,1148825,113330,1302,1
