is_concert,song_name_clean,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a
True,小幸運,184970,505260,2.731578093744932,11689,53674,4.591838480622807,28.07428924676883,28.02340607654492,0.0508831702239157
False,愛了很久的朋友,124264,290216,2.3354793021309472,8579,33146,3.8636204685860815,26.296393196301683,26.24859917599163,0.0477940203100532
True,你就不要想起我,84127,223397,2.6554732725522125,9133,39485,4.323332968356509,24.74267952583162,24.69787247929201,0.0448070465396101
True,寂寞寂寞就好,79933,175980,2.201593834836676,8478,32517,3.835456475583864,24.526044101951168,24.467924603834277,0.0581194981168942
True,魔鬼中的天使,60867,154293,2.5349204002168664,7806,30785,3.94376120932616,23.43134238026976,23.39449900413336,0.0368433761363956
False,不晚,62433,161431,2.5856678359201064,3671,24086,6.561154998637973,23.39814094118232,23.23459546303985,0.1635454781424676
False,餘波盪漾,60503,118937,1.9658033485942843,6458,21989,3.404924125116135,23.345471697056496,23.28855730794594,0.0569143891105575
True,還是要幸福,58986,124279,2.1069236768046653,7513,28296,3.766271795554372,23.32318217643906,23.259545628745258,0.0636365476938025
True,愛著愛著就永遠,57662,125153,2.17045888106552,7717,29442,3.815213165737981,23.24845471796152,23.18844576659902,0.060008951362502
False,演員,53818,121058,2.249396112824705,7420,29613,3.9909703504043126,22.97757729501299,22.915570039454348,0.0620072555586403
True,不醉不會,51906,114973,2.215023311370554,7063,24890,3.5239983010052387,22.79951679115659,22.75885108855056,0.0406657026060312
False,最暖的憂傷,46604,96553,2.07177495493949,4741,17873,3.7698797721999577,22.25638505766681,22.188792898344904,0.0675921593219109
False,我想我不會愛你,43817,85826,1.958737476321976,5440,17641,3.242830882352941,22.0671937892175,22.01925553293219,0.0479382562853144
False,你太猖狂,31613,57692,1.824945433840509,4374,13601,3.1095107453132145,20.812028610201025,20.75846312825846,0.0535654819425662
False,當你,24647,48834,1.9813364709700976,4274,13763,3.220168460458587,19.94691155435516,19.902424156823468,0.0444873975316905
True,渺小,23801,42403,1.7815637998403429,3967,11755,2.9631963700529367,19.793911521380867,19.74508861808446,0.0488229032964089
True,My Love,23848,41165,1.726140556860114,3692,11434,3.0969664138678223,19.777724823894623,19.71327975227825,0.0644450716163689
False,看淡,19115,43865,2.294794663876537,3800,12234,3.2194736842105263,19.032266277208773,19.01064520735142,0.0216210698573541
True,LOVE!,19991,35309,1.766244810164574,2675,7557,2.8250467289719627,19.010896077316268,18.969290383937675,0.0416056933785908
False,黑色柳丁,19245,46123,2.3966224993504808,3419,10611,3.103539046504826,18.98155832867466,18.96895656404649,0.0126017646281704
False,矛盾,17320,29769,1.7187644341801385,2857,8879,3.107805390269513,18.5979614042725,18.5317902948797,0.0661711093928025
True,To Hebe,15461,24034,1.554491947480758,2120,6554,3.091509433962264,18.1095462146804,18.020394944569563,0.0891512701108326
