is_concert,song_name_clean,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a
True,好不容易,268524,2327095,8.666245847670972,16229,257061,15.839608108940784,29.81982316922722,29.751224525829333,0.0685986433978868
True,在這座城市遺失了你,230279,966283,4.196140334116441,18640,135917,7.291684549356223,29.175031830098337,29.11744245300215,0.0575893770961874
True,唯一,143073,466860,3.263089471808098,14639,84841,5.7955461438622855,27.080030825931683,27.017797847126666,0.0622329788050157
True,醜人多作怪,109165,348138,3.1890990702148123,12742,63807,5.007612619682939,25.906088751763352,25.867687366367747,0.0384013853956043
True,披星戴月的想你,100652,351714,3.4943567937050437,11378,63206,5.555106345579188,25.536309044613407,25.495777236428665,0.0405318081847409
True,愛人錯過,95486,390983,4.094663091971598,11719,68976,5.885826435702705,25.32789774061477,25.3030633602806,0.0248343803341739
True,與海無關,51233,153843,3.002810688423477,9070,47379,5.223704520396913,22.90945668882322,22.85164017374986,0.0578165150733589
True,同樣一個你,48625,126453,2.6005758354755786,9134,45832,5.017735931683819,22.75449685056316,22.67302183933067,0.0814750112324919
False,愛在夏天-盛夏之約,46083,155160,3.366968296334874,5507,31789,5.772471400036317,22.26308732256587,22.208273854499836,0.0548134680660371
True,愛在夏天,35980,114255,3.175514174541412,7783,39011,5.0123345753565465,21.57916852674518,21.53987498086561,0.0392935458795684
True,運氣來得若有似無,35895,81915,2.282072712076891,7458,28165,3.7764816304639313,21.54980166903768,21.501946650827303,0.0478550182103773
False,寂寞留白,32951,92681,2.812691572334679,4914,29191,5.94037444037444,21.06568753482296,20.960262829012255,0.1054247058107029
True,愚人遊戲,24737,65738,2.657476654404334,6406,29637,4.626443958788635,20.248262067548435,20.190288095541185,0.0579739720072497
True,帶我去找夜生活,22932,72188,3.147915576487005,6364,32978,5.18196103079824,19.9992363522522,19.952376629777945,0.0468597224742518
True,你要不要吃哈密瓜,22544,64780,2.8734918381831087,5429,22645,4.171118069626083,19.79968113710596,19.773488137297345,0.0261929998086139
False,新世界,19970,48238,2.415523284927391,5190,19762,3.807707129094412,19.405320543782057,19.366254108609063,0.0390664351729941
True,紅,18109,49344,2.724832955988735,5327,25021,4.697015205556599,19.151805485859164,19.095881710366825,0.0559237754923399
True,溫蒂公主的侍衛,16348,43617,2.668032786885246,5142,22698,4.414235705950992,18.81608646079363,18.768272359710146,0.0478141010834859
True,WEWE,12128,28084,2.315633245382586,4023,14445,3.5906040268456376,17.745231722370917,17.708942334365233,0.0362893880056852
True,人前人後,11250,25498,2.266488888888889,3853,13021,3.3794445886322344,17.494668799078763,17.464569416774314,0.0300993823044486
True,法蘭西多士,7446,18528,2.488315874294924,2881,10414,3.6147171121138495,16.138287415071584,16.111988693790742,0.0262987212808429
False,只管向前,8187,16666,2.035666300232075,1338,4695,3.508968609865471,15.88728599424373,15.83136656366788,0.0559194305758507
False,说我爱你的一百种方式,6006,15975,2.65984015984016,2535,10870,4.287968441814596,15.499773948122192,15.456760830113286,0.0430131180089079
True,獨角獸,5630,14051,2.4957371225577263,2107,8987,4.26530612244898,15.175170039943673,15.12099684103186,0.0541731989118126
False,夜裡無星,5089,40519,7.962075063863234,1744,18092,10.373853211009177,14.717449936451128,14.704244747936864,0.0132051885142631
False,迷霧之子,4545,10255,2.2563256325632564,1804,6605,3.66130820399113,14.5047663544266,14.460567804559656,0.0441985498669438
False,帶我去找夜生活 - 健康版,4660,10250,2.199570815450644,1434,5152,3.592747559274756,14.370893372374884,14.325486555158,0.0454068172168828
False,Live A Little,4841,11466,2.368518901053501,1144,4890,4.274475524475524,14.331957655552646,14.26621362904014,0.065744026512504
False,從沒去過巴塞隆納,3911,9870,2.523651240092048,1494,6087,4.07429718875502,13.977037446616713,13.933763725167324,0.0432737214493896
False,像是在天堂,3709,8768,2.363979509301698,964,3474,3.603734439834025,13.499462128505373,13.46593319611144,0.0335289323939305
False,過場,2765,5311,1.9207956600361664,1423,3950,2.775825720309206,13.144503876745928,13.118932339305823,0.0255715374401047
False,不具名的花,2795,6556,2.3456171735241504,1254,5194,4.1419457735247205,13.073940939740371,13.012957982556015,0.0609829571843552
True,跳海,2030,5576,2.74679802955665,961,3627,3.774193548387097,12.10034303074735,12.0812997370979,0.0190432936494509
False,果然你還是,1579,3472,2.1988600379987333,921,3246,3.52442996742671,11.587976746856931,11.545996302534126,0.0419804443228051
False,簡答題,1397,3421,2.448818897637796,883,3317,3.756511891279728,11.31025851940164,11.275726436699962,0.0345320827016786
False,驕傲的鯨魚,1365,2865,2.098901098901099,795,2596,3.2654088050314467,11.15542492599092,11.118581818564513,0.036843107426409
False,說我愛你的一百種方式,1152,2141,1.8585069444444444,312,632,2.025641025641025,10.022048940964586,10.02065030841664,0.0013986325479443
False,Summer Romance,380,579,1.5236842105263158,31,51,1.6451612903225807,6.833278860080261,6.832169069788409,0.0011097902918516
