is_concert,song_name_clean,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a
True,HAVE A NICE DAY,64619,154095,2.384670143456259,5118,21164,4.135209066041423,23.516290418885383,23.45913635704494,0.0571540618404432
True,你啊你啊,62769,141076,2.247542576749669,4292,14802,3.4487418452935694,23.32939133322064,23.294812904657192,0.0345784285634489
True,彼個所在,58271,143914,2.4697362324312264,5560,22840,4.107913669064748,23.13715720683613,23.08832914117146,0.0488280656646712
False,查有此人,52840,112323,2.1257191521574565,2474,13531,5.46928051738076,22.66293257416598,22.4944844572054,0.1684481169605806
True,我的菜 My Type,26836,51662,1.925100611119392,2823,9700,3.436060928090684,20.06349009233983,20.00018379640587,0.0633062959339575
False,星期三或禮拜三,16363,36995,2.260893479190857,3408,13353,3.9181338028169015,18.51288708184735,18.455862042248988,0.0570250395983619
True,買你,17774,31962,1.798244626983234,1889,5619,2.974589730015881,18.483204901031225,18.43542842656019,0.047776474471035
False,奶奶,17150,35161,2.050204081632653,1819,7386,4.06047278724574,18.389742278776705,18.30166420094993,0.0880780778267757
True,陪著你,10321,20715,2.007072958046701,2908,10174,3.498624484181568,17.045227129717276,16.986984947371575,0.0582421823456997
False,Don't cry Don't cry,9055,19389,2.141247929320817,2751,8667,3.1504907306434022,16.610148105241954,16.582021041804374,0.0281270634375818
False,街角的祝福,8877,15356,1.7298636926889714,1443,4515,3.128898128898129,16.175868940053476,16.10962471244752,0.0662442276059574
True,很小很小 Small Small,8172,19841,2.427924620655898,1964,10176,5.181262729124236,16.155340145720636,16.046967232020645,0.1083729136999897
True,一萬個不回頭的方法,7896,14210,1.799645390070922,1915,4812,2.512793733681462,15.954791148018218,15.933774875504124,0.0210162725140938
False,四月是適合說謊的日子,8113,13969,1.7218045112781954,1435,4597,3.203484320557491,15.912407855535738,15.839702793936295,0.0727050615994409
True,Ophelia,7063,13396,1.89664448534617,2187,6113,2.795153177869228,15.758645432831113,15.730280244174176,0.0283651886569378
True,香格里拉,7853,15340,1.9533936075385203,1361,3951,2.903012490815577,15.746453941708648,15.716849593253624,0.0296043484550241
False,還是要相信愛情啊混蛋們,7255,11369,1.5670572019297035,1435,3506,2.443205574912892,15.55307762697597,15.515876799253702,0.0372008277222676
True,變形金剛 Transformers,6098,10727,1.7591013447031814,1442,4612,3.1983356449375866,15.101417940706646,15.03400855377198,0.0674093869346657
True,泡泡,6144,8245,1.3419596354166667,538,1177,2.187732342007435,14.674961586407564,14.629909514208776,0.0450520721987873
True,好嗎好嗎,4901,9644,1.9677616812895329,1791,5046,2.817420435510888,14.65917650395957,14.634878191081942,0.0242983128776283
False,竊笑,4043,9041,2.236210734603018,1906,7032,3.689401888772298,14.29370883624234,14.246427274554042,0.0472815616882972
False,你啊你啊 金曲主持人特別版,5359,8743,1.631461093487591,514,1386,2.6964980544747084,14.251927153869016,14.204305705953972,0.0476214479150424
True,"四月是適合說謊的日子 April, Good for Lying",4445,7074,1.591451068616423,1320,3698,2.801515151515152,14.203930667852664,14.14361146236208,0.0603192054905867
False,賣花的人 Aroma,3793,6839,1.8030582652254152,1892,6371,3.367336152219873,14.171591949481286,14.098000895015335,0.0735910544659504
True,晚安晚安,3582,7640,2.132886655499721,1303,3769,2.8925556408288564,13.625228781405353,13.607721801450063,0.0175069799552851
False,暗室之後,3780,5508,1.457142857142857,1029,2261,2.197278911564626,13.589347895981174,13.557527381372044,0.0318205146091276
True,i will be fine,3548,6324,1.782412626832018,1273,3210,2.5216025137470544,13.588200089634114,13.565499129308874,0.0227009603252409
False,海鷗先生我愛你,2840,4665,1.642605633802817,1194,2991,2.5050251256281406,13.034922446930535,13.00133133639114,0.0335911105393963
True,恐慌症,2696,4512,1.6735905044510386,1038,2448,2.3583815028901736,12.782619855413,12.760429326836933,0.0221905285760671
False,在不確定的世界裡,2760,4717,1.7090579710144929,956,2511,2.626569037656904,12.780272054952096,12.74544054172755,0.0348315132245465
True,奶奶 Dear Grandma,2174,4411,2.0289788408463663,1416,4004,2.827683615819209,12.659476711471,12.638696538312384,0.0207801731586155
True,末路狂花,2396,4255,1.7758764607679465,981,2290,2.3343527013251784,12.464633892893676,12.450531445868862,0.0141024470248141
False,世界末日的某個角落,2602,4540,1.7448116833205227,347,712,2.0518731988472623,12.0435994630028,12.03864302728237,0.0049564357204286
False,捉迷藏,1877,3403,1.8129994672349492,1022,2465,2.411937377690802,12.002530856862846,11.987162704728863,0.0153681521339804
False,既然不再假裝自己不是多愁善感的詩人,1620,2647,1.6339506172839506,884,2202,2.490950226244344,11.584250448805712,11.550715271930532,0.0335351768751798
False,曬傷,1582,2621,1.656763590391909,719,1658,2.305980528511822,11.323102901914607,11.302483350880404,0.0206195510342028
True,我爸的筆,1736,3534,2.0357142857142856,545,1298,2.381651376146789,11.281651403409924,11.277005431614374,0.0046459717955512
False,沒事不哭  Merci Beaucoup,1135,1792,1.5788546255506608,1106,2731,2.469258589511754,11.2631837629878,11.225460634022108,0.0377231289656904
False,飛鳥,1399,3007,2.1493924231594,680,2000,2.9411764705882355,11.026710315016496,11.008158412376984,0.0185519026395124
True,美人 Pretty Woman,1053,1694,1.6087369420702755,1004,2446,2.4362549800796813,11.01000710199509,10.97752147166184,0.0324856303332492
True,大賞 Champion,1013,1673,1.6515301085883514,1039,2518,2.4234841193455243,10.998258969704205,10.9705188405124,0.0277401291918027
False,小魚,1184,1775,1.4991554054054057,604,1374,2.274834437086093,10.610692796105276,10.57789444911406,0.0327983469912175
True,愛不愛,1098,1741,1.585610200364299,619,1332,2.151857835218093,10.481326169553238,10.46373886245544,0.0175873070977968
False,friDay 超展開,1341,2532,1.8881431767337808,335,869,2.5940298507462685,10.414970375521095,10.395942919253208,0.0190274562678882
