is_concert,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a,_is_concert,_uu.other,_pc.other,_avg.other,_uu.core,_pc.core,_r,_u,_a
FALSE,4351,8783,2.01861641,1688,5124,3.035545024,14.32709033,14.29569656,0.031393773,FALSE,4351,8783,2.01861641,1688,5124,14.32709033,14.29569656,0.031393773
FALSE,3256,7707,2.367014742,2310,7476,3.236363636,14.04755083,14.02909388,0.018456948,FALSE,3256,7707,2.367014742,2310,7476,14.04755083,14.02909388,0.018456948
FALSE,2548,6996,2.745682889,2306,8785,3.80962706,13.6075615,13.58733153,0.020229966,FALSE,2548,6996,2.745682889,2306,8785,13.6075615,13.58733153,0.020229966
TRUE,3072,5323,1.732747396,1595,5271,3.304702194,13.5404609,13.46183838,0.078622519,TRUE,3072,5323,1.732747396,1595,5271,13.5404609,13.46183838,0.078622519
FALSE,3705,8801,2.375438596,1025,3364,3.28195122,13.52431328,13.5046044,0.019708878,FALSE,3705,8801,2.375438596,1025,3364,13.52431328,13.5046044,0.019708878
FALSE,2928,5556,1.897540984,1607,4977,3.097075296,13.41582456,13.37055749,0.045267073,FALSE,2928,5556,1.897540984,1607,4977,13.41582456,13.37055749,0.045267073
FALSE,2546,5842,2.294579733,1973,6462,3.275215408,13.38321611,13.35933452,0.023881596,FALSE,2546,5842,2.294579733,1973,6462,13.38321611,13.35933452,0.023881596
TRUE,2457,4973,2.024013024,1710,6073,3.551461988,13.16275282,13.10312217,0.059630645,TRUE,2457,4973,2.024013024,1710,6073,13.16275282,13.10312217,0.059630645
TRUE,2107,5197,2.466540104,1684,6765,4.017220903,12.85235379,12.80747865,0.04487514,TRUE,2107,5197,2.466540104,1684,6765,12.85235379,12.80747865,0.04487514
FALSE,2208,5602,2.537137681,1515,6095,4.02310231,12.79136394,12.75127708,0.040086864,FALSE,2208,5602,2.537137681,1515,6095,12.79136394,12.75127708,0.040086864
TRUE,2517,5364,2.131108462,947,2865,3.025343189,12.55176703,12.52861159,0.023155433,TRUE,2517,5364,2.131108462,947,2865,12.55176703,12.52861159,0.023155433
TRUE,1894,3526,1.861668427,1212,3527,2.910066007,12.23310717,12.19547098,0.037636197,TRUE,1894,3526,1.861668427,1212,3527,12.23310717,12.19547098,0.037636197
TRUE,1617,5239,3.239950526,1147,4078,3.555361813,11.84581183,11.84418407,0.001627753,TRUE,1617,5239,3.239950526,1147,4078,11.84581183,11.84418407,0.001627753
FALSE,1311,2543,1.939740656,900,2394,2.66,11.20508068,11.18627386,0.018806822,FALSE,1311,2543,1.939740656,900,2394,11.20508068,11.18627386,0.018806822
FALSE,1041,2288,2.197886647,959,2445,2.549530761,10.90095347,10.89679903,0.004154443,FALSE,1041,2288,2.197886647,959,2445,10.90095347,10.89679903,0.004154443
FALSE,912,1685,1.847587719,499,1538,3.082164329,9.968915794,9.91952041,0.049395384,FALSE,912,1685,1.847587719,499,1538,9.968915794,9.91952041,0.049395384
FALSE,700,1169,1.67,457,1320,2.888402626,9.440627311,9.384011268,0.056616043,FALSE,700,1169,1.67,457,1320,9.440627311,9.384011268,0.056616043
FALSE,576,956,1.659722222,508,1109,2.183070866,9.225571462,9.211402744,0.014168718,FALSE,576,956,1.659722222,508,1109,9.225571462,9.211402744,0.014168718
FALSE,496,760,1.532258065,492,950,1.930894309,8.978654656,8.968569157,0.010085499,FALSE,496,760,1.532258065,492,950,8.978654656,8.968569157,0.010085499
FALSE,615,1226,1.993495935,340,1077,3.167647059,8.920869925,8.880420095,0.04044983,FALSE,615,1226,1.993495935,340,1077,8.920869925,8.880420095,0.04044983
FALSE,328,568,1.731707317,315,707,2.244444444,7.898735369,7.886048868,0.012686501,FALSE,328,568,1.731707317,315,707,7.898735369,7.886048868,0.012686501
FALSE,289,447,1.546712803,289,574,1.98615917,7.640040294,7.628245385,0.011794909,FALSE,289,447,1.546712803,289,574,7.640040294,7.628245385,0.011794909
FALSE,273,452,1.655677656,253,463,1.830039526,7.405654337,7.40376342,0.001890918,FALSE,273,452,1.655677656,253,463,7.405654337,7.40376342,0.001890918
FALSE,212,312,1.471698113,227,582,2.563876652,7.040737533,6.982618741,0.058118792,FALSE,212,312,1.471698113,227,582,7.040737533,6.982618741,0.058118792
FALSE,171,283,1.65497076,220,465,2.113636364,6.730667268,6.719380342,0.011286926,FALSE,171,283,1.65497076,220,465,6.730667268,6.719380342,0.011286926
FALSE,158,228,1.443037975,201,480,2.388059701,6.576366825,6.528507641,0.047859184,FALSE,158,228,1.443037975,201,480,6.576366825,6.528507641,0.047859184
FALSE,140,200,1.428571429,209,485,2.320574163,6.5103529,6.465961152,0.044391748,FALSE,140,200,1.428571429,209,485,6.5103529,6.465961152,0.044391748
FALSE,129,197,1.527131783,185,396,2.140540541,6.256162993,6.234657667,0.021505325,FALSE,129,197,1.527131783,185,396,6.256162993,6.234657667,0.021505325
FALSE,130,193,1.484615385,180,381,2.116666667,6.230610953,6.20688309,0.023727864,FALSE,130,193,1.484615385,180,381,6.230610953,6.20688309,0.023727864
FALSE,127,176,1.385826772,123,277,2.25203252,5.794580633,5.750116285,0.044464348,FALSE,127,176,1.385826772,123,277,5.794580633,5.750116285,0.044464348
TRUE,145797,435728,2.98859373,16168,104603,6.469755072,27.2505762,27.13806898,0.11250722,TRUE,145797,435728,2.98859373,16168,104603,27.2505762,27.13806898,0.11250722
FALSE,94207,216507,2.298205017,13706,50383,3.675981322,25.37344122,25.33183154,0.041609688,FALSE,94207,216507,2.298205017,13706,50383,25.37344122,25.33183154,0.041609688
TRUE,83573,188319,2.253347373,13695,49911,3.644468784,24.92344456,24.87984458,0.043599982,TRUE,83573,188319,2.253347373,13695,49911,24.92344456,24.87984458,0.043599982
FALSE,73282,161256,2.200485795,11445,38867,3.395980778,24.32091129,24.28539915,0.035512141,FALSE,73282,161256,2.200485795,11445,38867,24.32091129,24.28539915,0.035512141
TRUE,64901,164596,2.536108843,12630,50877,4.028266033,23.94735055,23.90696955,0.040381005,TRUE,64901,164596,2.536108843,12630,50877,23.94735055,23.90696955,0.040381005
TRUE,63561,139777,2.199100077,11612,41449,3.569497072,23.82023167,23.77597948,0.044252186,TRUE,63561,139777,2.199100077,11612,41449,23.82023167,23.77597948,0.044252186
FALSE,58417,134696,2.305767157,12155,43386,3.569395311,23.54525254,23.5092364,0.036016145,FALSE,58417,134696,2.305767157,12155,43386,23.54525254,23.5092364,0.036016145
FALSE,54401,137443,2.526479293,8235,45101,5.476745598,23.12242122,23.00952064,0.112900586,FALSE,54401,137443,2.526479293,8235,45101,23.12242122,23.00952064,0.112900586
TRUE,50660,115263,2.275227004,12019,42634,3.547216907,23.04957619,23.01238005,0.037196141,TRUE,50660,115263,2.275227004,12019,42634,23.04957619,23.01238005,0.037196141
FALSE,51283,104525,2.038199793,10468,33192,3.170806267,22.98710431,22.95026989,0.036834421,FALSE,51283,104525,2.038199793,10468,33192,22.98710431,22.95026989,0.036834421
FALSE,49751,104579,2.1020482,11509,37951,3.297506299,22.95530061,22.91706356,0.038237051,FALSE,49751,104579,2.1020482,11509,37951,22.95530061,22.91706356,0.038237051
FALSE,48436,102204,2.110083409,10260,32561,3.173586745,22.77104491,22.73962708,0.031417829,FALSE,48436,102204,2.110083409,10260,32561,22.77104491,22.73962708,0.031417829
FALSE,46738,96269,2.059758655,9498,28676,3.019161929,22.59021628,22.56263701,0.027579268,FALSE,46738,96269,2.059758655,9498,28676,22.59021628,22.56263701,0.027579268
TRUE,42977,90846,2.113828327,11787,42455,3.601849495,22.50690821,22.4533364,0.05357181,TRUE,42977,90846,2.113828327,11787,42455,22.50690821,22.4533364,0.05357181
FALSE,44933,90764,2.019985311,9166,27979,3.052476544,22.43523033,22.40308036,0.032149969,FALSE,44933,90764,2.019985311,9166,27979,22.43523033,22.40308036,0.032149969
FALSE,45099,93538,2.074059292,8261,24645,2.983295001,22.37149394,22.34656942,0.024924526,FALSE,45099,93538,2.074059292,8261,24645,22.37149394,22.34656942,0.024924526
FALSE,43277,99243,2.293204242,7781,27847,3.578845907,22.20322973,22.16586474,0.037364992,FALSE,43277,99243,2.293204242,7781,27847,22.20322973,22.16586474,0.037364992
TRUE,38679,90804,2.347630497,12165,48288,3.969420469,22.20072062,22.14869221,0.052028407,TRUE,38679,90804,2.347630497,12165,48288,22.20072062,22.14869221,0.052028407
FALSE,40309,86602,2.148453199,9605,29263,3.046642374,22.09630503,22.07329348,0.023011549,FALSE,40309,86602,2.148453199,9605,29263,22.09630503,22.07329348,0.023011549
TRUE,40417,86271,2.134522602,8477,29432,3.471983013,22.03375568,21.98911778,0.044637901,TRUE,40417,86271,2.134522602,8477,29432,22.03375568,21.98911778,0.044637901
