is_concert	pre.concert.dt	song_name_clean	stream_cnt	uniq_users	stream_cnt_ratio	uniq_users_ratio	stream_cnt_total	uniq_users_total	days_diff_song_concert
FALSE	2005-08-31	你快樂嗎	156	6	0.002914090374161732	0.046511627906976744	53533	129	546
FALSE	2005-08-31	我知道你很難過	388	6	0.007247865802402257	0.046511627906976744	53533	129	546
FALSE	2005-08-31	You Gotta Know	109	6	0.002036127248613005	0.046511627906976744	53533	129	546
FALSE	2005-08-31	Show Your Love	139	6	0.0025965292436441073	0.046511627906976744	53533	129	546
FALSE	2005-08-31	如果不想要	170	6	0.0031756113051762463	0.046511627906976744	53533	129	546
FALSE	2005-08-31	什麼樣的愛	159	5	0.0029701305736648423	0.03875968992248062	53533	129	546
FALSE	2005-08-31	Take It Easy	75	5	0.0014010049875777559	0.03875968992248062	53533	129	546
FALSE	2005-08-31	你還愛我嗎	294	5	0.0054919395513048025	0.03875968992248062	53533	129	546
FALSE	2005-08-31	Because Of You	77	5	0.0014383651205798294	0.03875968992248062	53533	129	546
FALSE	2005-08-31	Don't Stop	138	5	0.0025778491771430707	0.03875968992248062	53533	129	546
FALSE	2005-08-31	捨不得	129	5	0.0024097285786337398	0.03875968992248062	53533	129	546
FALSE	2005-08-31	愛上了一條街	193	5	0.0036052528347000914	0.03875968992248062	53533	129	546
FALSE	2005-08-31	Lucky Number	72	5	0.0013449647880746456	0.03875968992248062	53533	129	546
FALSE	2005-08-31	你怎麼連話都說不清楚	588	5	0.010983879102609605	0.03875968992248062	53533	129	546
FALSE	2005-08-31	The Rose	59	4	0.0011021239235611679	0.031007751937984496	53533	129	546
FALSE	2005-08-31	感覺你的存在	121	4	0.002260288046625446	0.031007751937984496	53533	129	546
FALSE	2005-08-31	孤單的人總說無所謂	164	4	0.003063530906170026	0.031007751937984496	53533	129	546
FALSE	2005-08-31	怪我太年輕	94	4	0.001755926251097454	0.031007751937984496	53533	129	546
FALSE	2005-08-31	和世界做鄰居	96	4	0.0017932863840995274	0.031007751937984496	53533	129	546
FALSE	2005-08-31	快有愛	68	3	0.0012702445220704986	0.023255813953488372	53533	129	546
FALSE	2005-08-31	Sugar Sugar	43	3	8.0324285954458e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	猜想	44	3	8.219229260456167e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	看緊我	45	3	8.406029925466535e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	Bridge Over Troubled Water	33	3	6.164421945342126e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	上街	43	3	8.0324285954458e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	只有一個你	46	3	8.592830590476902e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	空白	39	3	7.28522593540433e-4	0.023255813953488372	53533	129	546
FALSE	2005-08-31	嗨	34	2	6.351222610352493e-4	0.015503875968992248	53533	129	546
TRUE	2005-08-31	海盜	510	2	0.00952683391552874	0.015503875968992248	53533	129	546
TRUE	2005-08-31	騎士精神	473	2	0.00883567145499038	0.015503875968992248	53533	129	546
TRUE	2005-08-31	說愛你	889	2	0.016606579119421667	0.015503875968992248	53533	129	546
TRUE	2005-08-31	就是愛	745	2	0.013916649543272375	0.015503875968992248	53533	129	546
TRUE	2005-08-31	Love Love Love	779	2	0.014551771804307624	0.015503875968992248	53533	129	546
FALSE	2005-08-31	看我72變	890	2	0.0166252591859227	0.015503875968992248	53533	129	546
TRUE	2005-08-31	爆米花的味道	370	2	0.006911624605383596	0.015503875968992248	53533	129	546
FALSE	2005-08-31	永恆	28	2	5.230418620290288e-4	0.015503875968992248	53533	129	546
FALSE	2005-08-31	如果那天你說愛我	70	2	0.0013076046550725721	0.015503875968992248	53533	129	546
TRUE	2005-08-31	乖貓	552	2	0.010311396708572283	0.015503875968992248	53533	129	546
FALSE	2005-08-31	由我	43	2	8.0324285954458e-4	0.015503875968992248	53533	129	546
FALSE	2005-08-31	捕手	44	2	8.219229260456167e-4	0.015503875968992248	53533	129	546
FALSE	2005-08-31	Goodbye	42	2	7.845627930435432e-4	0.015503875968992248	53533	129	545
FALSE	2005-08-31	唱這首歌	30	2	5.604019950311023e-4	0.015503875968992248	53533	129	546
