is_concert,pre.concert.dt,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert
True,2012-08-31,買你,2998,2082,0.1599103904416471,0.2588586348377471,18748,8043,1512
True,2012-08-31,晚安晚安,2082,1404,0.1110518455301898,0.1745617306975009,18748,8043,295
True,2012-08-31,香格里拉,1660,1078,0.0885427778963089,0.134029590948651,18748,8043,588
True,2012-08-31,飛鳥,1374,824,0.0732878173671858,0.1024493348253139,18748,8043,295
True,2012-08-31,三個字,981,715,0.0523255813953488,0.0888971776700236,18748,8043,319
True,2012-08-31,一起去旅行,703,490,0.0374973330488585,0.0609225413402959,18748,8043,1652
False,2012-08-31,女人經痛時,542,424,0.0289097503733731,0.0527166480169091,18748,8043,1652
False,2012-08-31,一時,535,402,0.0285363772135694,0.0499813502424468,18748,8043,295
True,2012-08-31,隕石,548,392,0.0292297845103477,0.0487380330722367,18748,8043,295
False,2012-08-31,IF,541,378,0.028856411350544,0.0469973890339425,18748,8043,588
True,2012-08-31,麋人,400,336,0.0213356091316407,0.04177545691906,18748,8043,822
True,2012-08-31,困在,435,328,0.0232024749306592,0.0407808031828919,18748,8043,835
True,2012-08-31,門,318,239,0.0169618092596543,0.0297152803680218,18748,8043,588
True,2012-08-31,溶話,299,239,0.0159483678259014,0.0297152803680218,18748,8043,295
False,2012-08-31,等等等,302,227,0.0161083848943887,0.0282232997637697,18748,8043,1522
False,2012-08-31,沒有關係,333,223,0.0177618946020908,0.0277259728956856,18748,8043,819
True,2012-08-31,泡泡,296,214,0.0157883507574141,0.0266069874424965,18748,8043,1512
True,2012-08-31,吼喲,284,206,0.0151482824834649,0.0256123337063284,18748,8043,295
True,2012-08-31,一顆灰塵,274,204,0.0146148922551738,0.0253636702722864,18748,8043,827
True,2012-08-31,我不是數學家,277,195,0.0147749093236611,0.0242446848190973,18748,8043,827
False,2012-08-31,一刀兩刃,241,192,0.0128547045018135,0.0238716896680343,18748,8043,822
False,2012-08-31,拉拉拉拉,247,192,0.0131747386387881,0.0238716896680343,18748,8043,1652
False,2012-08-31,嗚,275,190,0.0146682312780029,0.0236230262339922,18748,8043,295
True,2012-08-31,問號,223,187,0.0118946020908896,0.0232500310829292,18748,8043,827
False,2012-08-31,抽屜,223,167,0.0118946020908896,0.020763396742509,18748,8043,295
True,2012-08-31,你是不會當樹嗎,233,164,0.0124279923191807,0.0203904015914459,18748,8043,827
False,2012-08-31,世界末日的某個角落,239,156,0.0127480264561553,0.0193957478552778,18748,8043,1652
True,2012-08-31,脫光光,159,131,0.0084809046298271,0.0162874549297525,18748,8043,295
True,2012-08-31,局部的人,169,126,0.0090142948581181,0.0156657963446475,18748,8043,827
False,2012-08-31,門/香格里拉,171,118,0.0091209729037764,0.0146711426084794,18748,8043,176
False,2012-08-31,勾引,130,113,0.0069340729677832,0.0140494840233743,18748,8043,295
False,2012-08-31,花王,148,109,0.007894175378707,0.0135521571552903,18748,8043,1652
False,2012-08-31,房間,138,95,0.007360785150416,0.0118115131169961,18748,8043,1652
False,2012-08-31,香水,119,95,0.0063473437166631,0.0118115131169961,18748,8043,1652
False,2012-08-31,A Todo Color,128,91,0.006827394922125,0.011314186248912,18748,8043,1652
False,2012-08-31,優雅的刺蝟,94,83,0.0050138681459355,0.010319532512744,18748,8043,827
False,2012-08-31,鑽石,85,70,0.0045338169404736,0.0087032201914708,18748,8043,1652
False,2012-08-31,拖鞋,77,59,0.0041071047578408,0.0073355713042397,18748,8043,1652
False,2012-08-31,外星人愛我,80,59,0.0042671218263281,0.0073355713042397,18748,8043,827
False,2012-08-31,The Space That You're in,71,56,0.0037870706208662,0.0069625761531766,18748,8043,1652
False,2012-08-31,Downtown Cafe,71,52,0.0037870706208662,0.0064652492850926,18748,8043,1652
False,2012-08-31,我們,3,3,0.0001600170684873053,0.0003729951510630362,18748,8043,295
False,2012-08-31,糜人,0,0,0.0,0.0,0,0,-2931
False,2012-08-31,小黑桑波,0,0,0.0,0.0,0,0,-2280
False,2012-08-31,巴黎的憂鬱,0,0,0.0,0.0,0,0,-637
False,2012-08-31,野天鵝,0,0,0.0,0.0,0,0,-2280
False,2012-08-31,賣花的人 Aroma,0,0,0.0,0.0,0,0,-3218
True,2012-08-31,"Je t'aime,moi non plus",0,0,0.0,0.0,0,0,-39
False,2012-08-31,你啊你啊 金曲主持人特別版,0,0,0.0,0.0,0,0,-2952
False,2012-08-31,HAVE A NICE DAY,0,0,0.0,0.0,0,0,-3093
False,2012-08-31,friDay 超展開,0,0,0.0,0.0,0,0,-2068
True,2012-08-31,魚,0,0,0.0,0.0,0,0,-39
False,2012-08-31,沒有星期五的無人島,0,0,0.0,0.0,0,0,-39
False,2012-08-31,壞掉的戀曲,0,0,0.0,0.0,0,0,-39
False,2012-08-31,Door,0,0,0.0,0.0,0,0,-1287
False,2012-08-31,門 / 香格里拉,0,0,0.0,0.0,0,0,-2930
True,2012-08-31,我愛你,0,0,0.0,0.0,0,0,-39
False,2012-08-31,你啊你啊,0,0,0.0,0.0,0,0,-1533
False,2012-08-31,捉迷藏,0,0,0.0,0.0,0,0,-637
False,2012-08-31,開始和結束之間,0,0,0.0,0.0,0,0,-637
False,2012-08-31,Ophelia,0,0,0.0,0.0,0,0,-2637
False,2012-08-31,哪,0,0,0.0,0.0,0,0,-2686
True,2012-08-31,自然捲,0,0,0.0,0.0,0,0,-39
False,2012-08-31,好嗎好嗎,0,0,0.0,0.0,0,0,-637
False,2012-08-31,還是要相信愛情啊混蛋們,0,0,0.0,0.0,0,0,-609
False,2012-08-31,ㄧ起去旅行,0,0,0.0,0.0,0,0,-2931
False,2012-08-31,無聲電影,0,0,0.0,0.0,0,0,-1547
False,2012-08-31,末路狂花,0,0,0.0,0.0,0,0,-1547
False,2012-08-31,在不確定的世界裡,0,0,0.0,0.0,0,0,-637
False,2012-08-31,我家樓下,0,0,0.0,0.0,0,0,-2686
False,2012-08-31,夢露,0,0,0.0,0.0,0,0,-1547
False,2012-08-31,愛不愛,0,0,0.0,0.0,0,0,-595
False,2012-08-31,小魚,0,0,0.0,0.0,0,0,-1547
False,2012-08-31,Bonne Nuit,0,0,0.0,0.0,0,0,-1290
False,2012-08-31,查有此人,0,0,0.0,0.0,0,0,-3356
False,2012-08-31,賈科梅蒂,0,0,0.0,0.0,0,0,-1547
False,2012-08-31,彼個所在,0,0,0.0,0.0,0,0,-2637
False,2012-08-31,星期三或禮拜三,0,0,0.0,0.0,0,0,-1783
False,2012-08-31,冰冷的狂熱/Ophelia,0,0,0.0,0.0,0,0,-896
False,2012-08-31,歌蒂拉與三隻熊,0,0,0.0,0.0,0,0,-2280
False,2012-08-31,If,0,0,0.0,0.0,0,0,-1287
