artist_id	is_concert	album_id	song_id	song_name	song_debut_time	song_name_clean	album_debut_time
30305	FALSE	3850429	39809392	大象舞台	2014-05-23T00:00:00Z	大象舞台	2014-04-22T00:00:00Z
30305	FALSE	718022	7890476	Yesterday's News	2013-02-05T00:00:00Z	Yesterday's News	2013-01-31T00:00:00Z
30305	FALSE	104729	1620475	病態	2008-06-03T00:00:00Z	病態	2008-04-22T00:00:00Z
30305	TRUE	1584552	16709796	心酸	2013-07-05T00:00:00Z	心酸	2013-07-05T00:00:00Z
30305	FALSE	16044118	167994770	我已經敢想你	2016-06-17T00:00:00Z	我已經敢想你	2016-05-31T00:00:00Z
30305	TRUE	1584552	16709790	晚安	2013-07-05T00:00:00Z	晚安	2013-07-05T00:00:00Z
30305	TRUE	1584552	16709901	誘	2013-07-05T00:00:00Z	誘	2013-07-05T00:00:00Z
30305	TRUE	1584552	16709913	背影	2013-07-05T00:00:00Z	背影	2013-07-05T00:00:00Z
30305	FALSE	148589	2133593	說謊	2010-06-18T00:00:00Z	說謊	2010-06-04T00:00:00Z
30305	FALSE	136391	1982793	唐人街	2009-11-06T00:00:00Z	唐人街	2009-10-21T00:00:00Z
30305	TRUE	36160387	344004044	心酸+浪費+耳朵+想自由	2018-07-01T00:00:00Z	心酸	2018-06-25T00:00:00Z
30305	TRUE	36160387	344004044	心酸+浪費+耳朵+想自由	2018-07-01T00:00:00Z	浪費	2018-06-25T00:00:00Z
30305	TRUE	36160387	344004044	心酸+浪費+耳朵+想自由	2018-07-01T00:00:00Z	耳朵	2018-06-25T00:00:00Z
30305	TRUE	36160387	344004044	心酸+浪費+耳朵+想自由	2018-07-01T00:00:00Z	想自由	2018-06-25T00:00:00Z
30305	TRUE	127711	1887321	請說+慢一點	2009-05-01T00:00:00Z	請說	2009-04-17T00:00:00Z
30305	TRUE	127711	1887321	請說+慢一點	2009-05-01T00:00:00Z	慢一點	2009-04-17T00:00:00Z
